(0.971269, -0.0199149, 0.323158)
(-0.295114, -0.40267, -0.885541)
(-0.0134025, -0.416455, -0.943262)
(-0.00369307, 0.210651, -0.981311)
(-0.285564, 0.214156, -0.922967)
(-0.314369, -0.117189, -0.968548)
(-0.0108606, -0.26389, -0.989829)
(0.0183029, -0.124796, -1.0155)
(-0.31084, -0.117312, -0.969674)
(-0.31377, -0.0785345, -0.970893)
(-0.00594538, 0.053571, -1.00909)
(0.0188893, -0.0869232, -1.01779)
(-0.310241, -0.0786574, -0.97202)
(-0.0109696, -0.124351, -1.01564)
(-0.0103832, -0.0864785, -1.01793)
(-0.56073, -0.390454, -0.75198)
(-0.596804, -0.104199, -0.82653)
(-0.55118, 0.226372, -0.789406)
(-0.596206, -0.0655447, -0.828875)
(-0.59981, -0.104022, -0.82437)
(-0.599212, -0.0653671, -0.826715)
(-0.771925, -0.374503, -0.542978)
(-0.824379, -0.0870606, -0.602133)
(-0.762375, 0.242323, -0.580404)
(-0.823781, -0.0484061, -0.604478)
(-0.826569, -0.0868457, -0.599151)
(-0.82597, -0.0481912, -0.601496)
(-0.908026, -0.356378, -0.278994)
(-0.971288, -0.0675738, -0.318451)
(-0.898476, 0.260447, -0.316419)
(-0.97069, -0.0289193, -0.320796)
(-0.972447, -0.0673427, -0.314938)
(-0.971848, -0.0286882, -0.317283)
(-0.955711, -0.337855, 0.0141317)
(-1.02315, -0.0476463, -0.00325063)
(-1.02255, -0.00899177, -0.00559596)
(-1.02317, -0.0474216, 0.000448582)
(-0.910311, -0.320745, 0.307706)
(-0.974891, -0.0292287, 0.312613)
(-0.97376, -0.0290324, 0.316136)
(-0.946161, 0.278971, -0.0232937)
(-0.900761, 0.29608, 0.27028)
(-1.02257, -0.00876709, -0.00189675)
(-0.974295, 0.00941032, 0.310254)
(-0.972943, 0.0133878, 0.313543)
(-0.9733, 0.00992602, 0.313487)
(-0.776272, -0.306725, 0.572991)
(-0.586163, -0.140182, 0.846666)
(-0.831232, -0.0141239, 0.59822)
(-0.591021, 0.0166605, 0.8471)
(-0.830485, 0.0248647, 0.596141)
(-0.829066, -0.0139752, 0.601224)
(-0.766722, 0.310101, 0.535566)
(-0.581329, 0.172075, 0.82772)
(-0.960721, 0.143907, 0.302638)
(-0.830506, 0.028396, 0.595419)
(-0.828467, 0.0246791, 0.598878)
(-0.82005, 0.158501, 0.581081)
